goodsNo,goodsName,displayGenderText,normalPrice,price,couponPrice,saleRate,couponSaleRate,hasOptionPrice,brand,reviewCount,reviewScore,isYoutubeCollab
4721698,[아웃스탠딩×패션플래닛] MIGHTY TIGER LOGO SWEAT_NAVY,공용,84000,75600,,10,,False,outstanding,67,94,0
5370439,WOOL FLEECE MOUNTAIN JACKET_BEIGE,남성,128000,115200,,10,,False,outstanding,2,100,0
4423409,AUTHENTIC COMFORT HOOD SWEAT_3%MELANGE GRAY,남성,84000,75600,,10,,False,outstanding,101,96,0
5312829,WESTERN DENIM SHIRT_INDIGO,남성,108000,97200,,10,,False,outstanding,1,100,0
5370205,V.S.C SWEAT(CHAMPIONS)_1%OATMEAL,남성,89000,80100,,10,,False,outstanding,2,100,0
5407846,V.S.C HOOD SWEAT(HANOVER)_WINE,남성,98000,88200,,10,,False,outstanding,1,100,0
5408006,VELVET SOUVENIR JACKET_NAVY,남성,198000,178200,,10,,False,outstanding,0,0,0
4641453,OSTD STITCH CRAFTED BELT_BLACK,남성,58000,52200,,10,,False,outstanding,108,98,0
1730659,REVERSE HEAVY SWEAT_1%MELANGE GRAY,공용,89000,89000,,0,,False,outstanding,486,96,0
3998525,[2PACK] VINTAGE WASHING T-SHIRT_VINTAGE OLIVE/VINTAGE CHARCOAL,남성,84000,75600,,10,,False,outstanding,880,98,0
4214240,OSTD PLAQUE BELT_SILVER,남성,74000,66600,,10,,False,outstanding,127,96,0
5370210,V.S.C SWEAT(CHAMPIONS)_NAVY,남성,89000,80100,,10,,False,outstanding,2,100,0
4423390,AUTHENTIC COMFORT SWEAT_1%OATMEAL,남성,74000,66600,,10,,False,outstanding,181,98,0
5441607,MIL SERIES SWEAT(AIR FORCE)_CHARCOAL,남성,79000,71100,,10,,False,outstanding,3,100,0
3459551,MECHANIC WORK SHIRT_BLACK,공용,94000,84600,,10,,False,outstanding,629,98,0
5353184,CANVAS CARPENTER DOUBLE KNEE PANTS_BEIGE,남성,108000,97200,,10,,False,outstanding,2,100,0
4693537,LAMBSWOOL FISHERMAN CARDIGAN_NAVY,남성,108000,97200,,10,,False,outstanding,35,96,0
2900517,LOOSE FIT CARPENTER PANTS_BLACK DENIM,공용,98000,88200,,10,,False,outstanding,1269,98,0
5407906,OSTD BRASS SHOEHORN KEYRING_BRASS,남성,42000,37800,,10,,False,outstanding,5,100,0
4262459,PURE WOOL WHOLEGARMENT KNIT_PINK,남성,118000,106200,,10,,False,outstanding,70,98,0
4825726,MIL SERIES LONG SLEEVE(USS BRILL)_WHITE,공용,58000,52200,,10,,False,outstanding,46,100,0
4736234,BRITISH ARMY GURKHA PANTS_KHAKI,남성,94000,84600,,10,,False,outstanding,30,100,0
5312614,MOT SERIES LONG SLEEVE(RIDE THE COAST)_CHARCOAL,남성,65000,58500,,10,,False,outstanding,9,100,0
5441591,MIL SERIES SWEAT(GROSSE ILE)_NAVY,남성,79000,71100,,10,,False,outstanding,0,0,0
5407951,FAIRISLE CREW NECK KNIT_GRAY,남성,98000,88200,,10,,False,outstanding,2,90,0
4262315,MIL SERIES SWEAT(DEVIL CATS)_8%MELANGE GRAY,남성,79000,71100,,10,,False,outstanding,98,98,0
5312779,VINTAGE CHECK BD SHIRT_BROWN CHECK,남성,108000,97200,,10,,False,outstanding,0,0,0
3773738,LAMBSWOOL FISHERMAN CARDIGAN_L.BROWN,공용,108000,97200,,10,,False,outstanding,323,98,0
5353303,MIGHTY TIGER POCKET LONG SLEEVE_OFF WHITE,남성,45000,40500,,10,,False,outstanding,7,100,0
4825730,MIL SERIES LONG SLEEVE(USS BRILL)_NAVY,남성,58000,52200,,10,,False,outstanding,27,94,0
3459853,HIKING BELTED PANTS_GREEN,공용,98000,88200,,10,,False,outstanding,465,98,0
5312619,MOT SERIES LONG SLEEVE(RIDE THE COAST)_OFF WHITE,남성,65000,58500,,10,,False,outstanding,3,100,0
5353332,MIGHTY TIGER SWEAT_NAVY,남성,79000,71100,,10,,False,outstanding,1,100,0
4755192,USN PATCH CHAMBRAY SHIRT_L.BLUE,남성,98000,88200,,10,,False,outstanding,60,98,0
5370303,THERMAL LONG SLEEVE TEE_NAVY,남성,74000,66600,,10,,False,outstanding,3,100,0
5296446,AUTHENTIC COMFORT SWEAT PANTS_VINTAGE CHARCOAL,남성,89000,80100,,10,,False,outstanding,2,90,0
4795221,OSTD PLAQUE BELT_GOLD,공용,74000,66600,,10,,False,outstanding,23,98,0
4261346,AUTHENTIC COMFORT SWEAT PANTS_3%MELANGE GRAY,남성,79000,71100,,10,,False,outstanding,65,96,0
5312736,MOT SERIES LONG SLEEVE(TWO-WHEELER)_OFF WHITE,남성,65000,58500,,10,,False,outstanding,9,96,0
4262842,PRIMALOFT LEVEL 7 SHORT PARKA_COYOTE,남성,258000,232200,,10,,False,outstanding,66,98,0
5407879,V.S.C HOOD SWEAT(BOSTON)_3%MELANGE GRAY,남성,98000,88200,,10,,False,outstanding,1,100,0
3773723,LAMBSWOOL ROUND NECK CARDIGAN_GRAY MELANGE,공용,129000,116100,,10,,False,outstanding,1655,96,0
3773711,RAGLAN CREW NECK KNIT_BEIGE,공용,79000,71100,,10,,False,outstanding,284,98,0
5312805,HBT MECHANIC WORK SHIRT_OLIVE,남성,98000,88200,,10,,False,outstanding,1,100,0
5312836,40S CORDUROY STRAIGHT PANTS_BLACK,남성,98000,88200,,10,,False,outstanding,0,0,0
4693493,V.S.C SWEAT(FINISHER CREW)_3%MELANGE GRAY,남성,79000,71100,,10,,False,outstanding,30,98,0
3459388,VINTAGE WASHING LONG SLEEVE TEE_VINTAGE OLIVE,공용,48000,43200,,10,,False,outstanding,556,96,0
5312572,MOT SERIES LONG SLEEVE(BLAZING SPEED)_PIGMENT CHARCOAL,남성,74000,66600,,10,,False,outstanding,0,0,0
5441688,MIL SERIES HOOD SWEAT(FLYING SCHOOL)_CHARCOAL,남성,95000,85500,,10,,False,outstanding,0,0,0
4423420,AUTHENTIC COMFORT HOOD ZIP SWEAT_1%OATMEAL,남성,94000,84600,,10,,False,outstanding,51,96,0
4721664,[아웃스탠딩×패션플래닛] [3PACK]MIGHTY TIGER LOGO SOCKS_WHITE,공용,28000,25200,,10,,False,outstanding,149,98,0
2263787,REVERSE HEAVY SWEAT PANTS_BLACK,공용,83000,83000,,0,,False,outstanding,1021,98,0
5370195,V.S.C SWEAT(BACKFIELD)_GREEN,남성,79000,71100,,10,,False,outstanding,2,100,0
5353324,MIGHTY TIGER SWEAT_3%MELANGE GRAY,남성,79000,71100,,10,,False,outstanding,4,100,0
5441754,TORAY KARAKORAM EUROPEAN GOOSE DOWN PARKA_ASH NAVY,남성,498000,448200,,10,,False,outstanding,0,0,0
5441650,MIL SERIES SWEAT(HEART OF THE MISSION)_3%MELANGE GRAY,남성,79000,71100,,10,,False,outstanding,1,100,0
5052200,[2PACK] HENLEY NECK HALF SLEEVE TEE_OFF WHITE/BLACK,공용,90000,63000,,30,,False,outstanding,204,98,0
5407944,FAIRISLE V-NECK KNIT VEST_NAVY,남성,74000,66600,,10,,False,outstanding,1,80,0
4423404,AUTHENTIC COMFORT HOOD SWEAT_BLACK,남성,84000,75600,,10,,False,outstanding,43,98,0
5441582,MIL SERIES SWEAT(USCGC)_HEATHER GRAY,남성,79000,71100,,10,,False,outstanding,0,0,0
5312802,HBT MECHANIC WORK SHIRT_BLACK,남성,98000,88200,,10,,False,outstanding,4,80,0
5312474,V.S.C LONG SLEEVE(PRINCETON)_NAVY,남성,58000,52200,,10,,False,outstanding,6,94,0
5353170,OSTD QUICK RELEASE BELT_BROWN,남성,68000,61200,,10,,False,outstanding,5,100,0
5369879,MIL SERIES SWEAT(LUCKY THIRTEEN)_NAVY,남성,79000,71100,,10,,False,outstanding,1,100,0
4693489,V.S.C SWEAT(NEW PORT)_1%OATMEAL,남성,79000,71100,,10,,False,outstanding,39,98,0
5441570,MIL SERIES SWEAT(USCGC)_3%MELANGE GRAY,남성,79000,71100,,10,,False,outstanding,2,100,0
